org.sejda/sejda-parent
org.sejda/sejda-optional-fonts,1
org.sejda/sejda-ocr,7
org.sejda/sejda-model,230
org.sejda/sejda-image-writers,11
org.sejda/sejda-fonts,1
org.sejda/sejda-docs
org.sejda/sejda-distribution
org.sejda/sejda-core,73
org.sejda/sejda-conversion,58
org.sejda/sejda-console,126
com.intelligt.modbus/jlibmodbus,200
com.ingenico.connect.gateway/connect-sdk-java,367
com.hianzuo.android/LibSpring
com.google.apis/google-api-services-toolresults,93
com.github.pengrad/java-telegram-bot-api,170
com.github.michaelruocco/embedded-mysql-plugin,11
com.github.michael-rapp/android-util
com.github.michael-rapp/android-material-views
com.github.michael-rapp/android-material-validation
com.github.leanframeworks/propertiesframework-swing,89
com.github.leanframeworks/propertiesframework-parent
com.github.leanframeworks/propertiesframework-experimental,121
com.github.leanframeworks/propertiesframework-core,114
com.github.frtu.smartscan/spring-analyzer,13
com.github.frtu.smartscan/smartscan-pom
com.flybotix/highfrequencyrobots,62
com.fimtra/clearconnect,632
com.coherentlogic.geofred.client/geofred-client-core,15
com.coherentlogic.fred/client
com.coherentlogic.fraser.client/fraser-client-core,162
com.coherentlogic/enterprise-data-adapter
com.coherentlogic.coherent.data.adapter.openfigi/client
com.cjyong.base/argorithms,2
com.cinchapi/concourse-plugin-core,75
com.cinchapi/concourse-import,15
com.cinchapi/concourse-ete-test-core,19
com.cinchapi/concourse-driver-java,4464
com.cinchapi/concourse-cli,5
com.celarli.commons/vfs-gcs,3
com.atomikos/transactions,80
com.atomikos/transactions-tcc-rest,13
com.atomikos/transactions-tcc-rest-api,3
com.atomikos/transactions-osgi,292
com.atomikos/transactions-jta,73
com.atomikos/transactions-jndi-provider,4
com.atomikos/transactions-jms,32
com.atomikos/transactions-jdbc,16
com.atomikos/transactions-eclipselink,2
com.atomikos/transactions-api,56
com.atomikos/atomikos-util,34
com.atomikos/atomikos-transactions-essentials
com.atomikos/atomikos-parent
com.atomikos/ate
com.arakelian/docker-junit-rule,5141
com.abubusoft/kripton,8
com.abubusoft/kripton-sqlite-test-library,114
com.abubusoft/kripton-retrofit-converter,8
com.abubusoft/kripton-processor,497
com.abubusoft/kripton-parent
com.abubusoft/kripton-dataformat-yaml,1
com.abubusoft/kripton-dataformat-smile,1
com.abubusoft/kripton-dataformat-properties,1
com.abubusoft/kripton-dataformat-cbor,1
com.abubusoft/kripton-core,125
com.abubusoft/kripton-android-library,81
ch.jalu/injector,45
ch.jalu/injector-parent
ch.jalu/injector-extras,5
ch.epfl.lamp/scalap,0
ch.epfl.lamp/scala-reflect,0
ch.epfl.lamp/scala-library,0
ch.epfl.lamp/scala-compiler,0
ch.epfl.lamp/dotty-sbt-bridge
ch.epfl.lamp/dotty-interfaces,7
at.ipsquare/ipsquare-commons-core,14
uk.ac.ebi.interpro.scan/server
uk.ac.ebi.interpro.scan/precalcmatches
uk.ac.ebi.interpro.scan/precalc-match-client,4
uk.ac.ebi.interpro.scan/jms-implementation,103
uk.ac.ebi.interpro.scan/interproscan
uk.ac.ebi.interpro.scan/interproscan-web,45
uk.ac.ebi.interpro.scan/interproscan-util,1
uk.ac.ebi.interpro.scan/interproscan-persistence,101
uk.ac.ebi.interpro.scan/interproscan-model,139
uk.ac.ebi.interpro.scan/interproscan-management,118
uk.ac.ebi.interpro.scan/interproscan-io,164
uk.ac.ebi.interpro.scan/interproscan-business,53
uk.ac.ebi.interpro.scan/generic-jpa-dao,2
uk.ac.ebi.interpro.scan/berkeley,23
space.glome/glome-testdouble,0
space.glome/glome-schema,11
space.glome/glome-jdbc
space.glome/glome-jdbc-testdouble,0
space.glome/glome-jdbc-schema,0
space.glome/glome-http
space.glome/glome-http-testdouble,0
space.glome/glome-http-schema,29
space.glome/glome-http-executor,5
space.glome/glome-core
space.glome/glome-agent,0
se.ugli.pecan/pecan,8
ru.noties/markwon
ru.noties/markwon-view
ru.noties/markwon-image-loader
org/zanata
org.vibur/vibur-object-pool,16
org.vibur/vibur-dbcp,69
org.thatscloud/pubj,17
org.t-io/tio-zoo-parent
org.t-io/tio-websocket-server,5
org.t-io/tio-websocket-parent
org.t-io/tio-websocket-common,13
org.t-io/tio-utils,56
org.t-io/tio-parent
org.t-io/tio-http-server,45
org.t-io/tio-http-parent
org.t-io/tio-http-common,37
org.t-io/tio-flash-policy-server,6
org.t-io/tio-core,113
org.springframework/cloud
org.sonarsource.typescript/typescript
org.sonarsource.typescript/sonar-typescript-plugin,318
org.sejda/sejda-sambox,113
org.sejda/sejda-parent
org.sejda/sejda-optional-fonts,1
org.sejda/sejda-ocr,7
org.sejda/sejda-model,230
org.sejda/sejda-image-writers,11
org.sejda/sejda-fonts,1
org.sejda/sejda-docs
org.sejda/sejda-distribution
org.sejda/sejda-core,73
org.sejda/sejda-conversion,58
org.sejda/sejda-console,126
org.sejda/sambox,693
org.scala-sbt/util-interface,5
org.restcomm.slee.resource.smpp/smpp-server-ra
org.restcomm.slee.resource.smpp/smpp-server-ra-ratype,3
org.restcomm.slee.resource.smpp/smpp-server-ra-ra,16
org.restcomm.slee.resource.smpp/smpp-server-ra-library,1
org.restcomm.slee.resource.smpp/smpp-server-ra-events,3
org.restcomm.slee.resource.smpp/smpp-server-ra-du,0
org.restcomm.slee.resource.smpp/restcomm-slee-smpp
org.realityforge.replicant/replicant-shared,2
org.realityforge.replicant/replicant-shared-ee,3
org.realityforge.replicant/replicant-server,42
org.realityforge.replicant/replicant-client-qa-support,3
org.realityforge.replicant/replicant-client-gwt,50
org.realityforge.replicant/replicant-client-ee,28
org.realityforge.replicant/replicant-client-common,75
org.orekit/orekit,1013
org.opensourcebim/bimviews,0
org.nanoframework/super
org.nanoframework/nano
org.nanoframework/nano-webmvc,24
org.nanoframework/nano-tomcat-server,10
org.nanoframework/nano-server,4
org.nanoframework/nano-orm
org.nanoframework/nano-orm-rocketmq,4
org.nanoframework/nano-orm-mybatis,13
org.nanoframework/nano-orm-kafka,4
org.nanoframework/nano-orm-jedis,23
org.nanoframework/nano-orm-jdbc,41
org.nanoframework/nano-orm-consul,4
org.nanoframework/nano-jetty-server,15
org.nanoframework/nano-ext
org.nanoframework/nano-ext-websocket,9
org.nanoframework/nano-ext-shiro,44
org.nanoframework/nano-ext-shiro-client,36
org.nanoframework/nano-ext-mail,6
org.nanoframework/nano-ext-httpclient,10
org.nanoframework/nano-ext-dubbo,4
org.nanoframework/nano-core,72
org.nanoframework/nano-concurrent,17
org.nanoframework/nano-concurrent-rocketmq,0
org.nanoframework/nano-concurrent-parent
org.nanoframework/nano-concurrent-cluster,19
org.nanoframework/nano-commons,78
org.komamitsu/fluency,78
org.jtransfo/jtransfo
org.jtransfo/jtransfo-spring,1
org.jtransfo/jtransfo-joda-time,2
org.jtransfo/jtransfo-hibernate,1
org.jtransfo/jtransfo-demo,11
org.jtransfo/jtransfo-core,64
org.jtransfo/jtransfo-cdi,4
org.jsmart/micro-simulator,14
org.jmrtd/jmrtd,134
org.jetbrains/kotlin
org.jboss/jboss-ejb-client,208
org.javers/javers-spring,16
org.javers/javers-spring-jpa,7
org.javers/javers-spring-boot-starter-sql,3
org.javers/javers-spring-boot-starter-mongo,2
org.javers/javers-persistence-sql,33
org.javers/javers-persistence-mongo,6
org.javers/javers-core,360
org.fujion/fujion-themes,0
org.fujion/fujion-testharness
org.fujion/fujion-test,12
org.fujion/fujion-script-renjin,2
org.fujion/fujion-script-parent
org.fujion/fujion-script-jython,2
org.fujion/fujion-script-jruby,2
org.fujion/fujion-script-groovy,2
org.fujion/fujion-script-clojure,2
org.fujion/fujion-schemas,0
org.fujion/fujion-sandbox,2
org.fujion/fujion-react-parent
org.fujion/fujion-react-example,0
org.fujion/fujion-react-core,1
org.fujion/fujion-parent
